iter	Logloss
0	0.6603541135
1	0.63535821
2	0.6109456362
3	0.5930443903
4	0.57818215
5	0.5650143269
6	0.5518999071
7	0.5419847388
8	0.5330402284
9	0.523964283
10	0.5169204585
11	0.5104887187
12	0.5042716381
13	0.4994976625
14	0.4955105815
15	0.4918928506
16	0.4880482321
17	0.484662285
18	0.480849141
19	0.4785106102
20	0.4760848106
21	0.4734856718
22	0.47122712
23	0.4691065277
24	0.4666473634
25	0.4653466687
26	0.463572912
27	0.4617194988
28	0.4604383451
29	0.4589218601
30	0.4570289112
31	0.4556728212
32	0.4545579611
33	0.4531738478
34	0.4519943774
35	0.4508568786
36	0.4496143065
37	0.4483271095
38	0.4475236798
39	0.4460487405
40	0.4452724347
41	0.4441001993
42	0.4429074705
43	0.4418821684
44	0.4410472998
45	0.4402251434
46	0.4393148196
47	0.4385042879
48	0.4377358205
49	0.4367530713
50	0.4360197253
51	0.4350917693
52	0.4344810976
53	0.433876632
54	0.4332396504
55	0.4322353242
56	0.4317686215
57	0.4311286699
58	0.4304262634
59	0.4296588805
60	0.4289338954
61	0.4282920278
62	0.427706919
63	0.4267808986
64	0.4263150105
65	0.4256130043
66	0.4246526046
67	0.4241999417
68	0.4235695396
69	0.4231624915
70	0.4227391303
71	0.4220114059
72	0.421412485
73	0.420866508
74	0.4203568067
75	0.4197519356
76	0.4192417231
77	0.4186993714
78	0.4182606225
79	0.4178354008
80	0.4175194845
81	0.4173023278
82	0.4168005892
83	0.4162377146
84	0.4157679695
85	0.4151267153
86	0.4145032455
87	0.4141070582
88	0.4137295343
89	0.4132284199
90	0.4125793716
91	0.412170102
92	0.4116645921
93	0.4110446857
94	0.4103533829
95	0.4098188717
96	0.4095651543
97	0.4089496879
98	0.4085840317
99	0.4081304601
100	0.4076001366
101	0.4071741837
102	0.4066032653
103	0.4061103092
104	0.4055194215
105	0.4049863019
106	0.4045804202
107	0.4040352694
108	0.4035575849
109	0.4029523706
110	0.402212839
111	0.4016421248
112	0.4011053308
113	0.400685234
114	0.4000825231
115	0.3995638257
116	0.3991599251
117	0.3982823197
118	0.3978144086
119	0.3970570642
120	0.3964147568
121	0.3959105137
122	0.3954537135
123	0.3947655809
124	0.3943132137
125	0.3937890463
126	0.3929432862
127	0.3922279769
128	0.3913025854
129	0.3905420046
130	0.3899326214
131	0.3892935399
132	0.3887505648
133	0.3880841025
134	0.3873599817
135	0.3867606515
136	0.3862941369
137	0.3858045909
138	0.3851781945
139	0.384728967
140	0.3840251348
141	0.3834494403
142	0.3826040802
143	0.3820748567
144	0.38122117
145	0.3806637081
146	0.380155682
147	0.3793907231
148	0.3788685739
149	0.3781912364
150	0.3777406656
151	0.3770567272
152	0.376508585
153	0.3757222688
154	0.3752559333
155	0.3746392397
156	0.3740260324
157	0.3733716031
158	0.3728261722
159	0.3721237973
160	0.3714947903
161	0.3708696659
162	0.3703121163
163	0.3698380054
164	0.3692622041
165	0.3686319593
166	0.3681807904
167	0.3675874883
168	0.3670277473
169	0.3665645482
170	0.3660538381
171	0.3655829686
172	0.3649515216
173	0.3645852709
174	0.3639285996
175	0.3634585276
176	0.3627239146
177	0.3621216462
178	0.3615200852
179	0.3609371472
180	0.3604630023
181	0.3598536713
182	0.3592818148
183	0.3588074526
184	0.3583431846
185	0.3578853968
186	0.3572995352
187	0.3566987987
188	0.3563009795
189	0.355733477
190	0.3554021349
191	0.3548788483
192	0.3541890558
193	0.3535701649
194	0.353264533
195	0.352845017
196	0.3522325541
197	0.3518107652
198	0.3512850733
199	0.350701927
200	0.3502758976
201	0.3498061212
202	0.3493589893
203	0.3488207776
204	0.3483604603
205	0.3478060345
206	0.3472473112
207	0.3466400378
208	0.3462460503
209	0.3459692144
210	0.345333489
211	0.3447005946
212	0.3442960425
